id,name,galaxy,type,period,ra,dec,magU,magB,magV,magR,magI,magJ,magH,magK,magu,magg,magr,magi,magz,magG,magW1,magW2,magW3,magW4
22116,OGLE-LMC-CEP-0768,LMC,DCEP,2.9660937,5 2 50.27,-68 14 12.00,,,15.897,,15.239,,,,,,,,,,,,,
22115,OGLE-LMC-CEP-0767,LMC,DCEP,2.3966455,5 2 48.26,-67 14 24.00,,,16.25,,15.609,,,,,,,,,,,,,
22114,OGLE-LMC-CEP-0766,LMC,DCEP,0.3588713,5 2 46.75,-70 4 56.60,,,18.555,,17.917,,,,,,,,,,,,,
22132,OGLE-LMC-CEP-0793,LMC,DCEP,2.6433569,5 3 14.95,-67 42 37.30,,,16.227,,15.547,,,,,,,,,,,,,
22134,OGLE-LMC-CEP-0796,LMC,DCEP,2.7767159,5 3 22.19,-67 28 21.40,,,16.206,,15.503,,,,,,,,,,,,,
22155,OGLE-LMC-CEP-0826,LMC,DCEP,1.8370967,5 3 51.45,-68 11 14.00,,,16.312,,15.614,,,,,,,,,,,,,
22145,OGLE-LMC-CEP-0811,LMC,DCEP,2.0719401,5 3 37.51,-67 39 10.40,,,15.76,,15.197,,,,,,,,,,,,,
22153,OGLE-LMC-CEP-0823,LMC,DCEP,2.9925263,5 3 50.65,-69 20 47.90,,,16.218,,15.459,,,,,,,,,,,,,
22152,OGLE-LMC-CEP-0822,LMC,DCEP,2.5325212,5 3 50.35,-70 34 5.60,,,16.442,,15.682,,,,,,,,,,,,,
22151,OGLE-LMC-CEP-0820,LMC,DCEP,16.8364426,5 3 47.89,-67 27 12.80,,,14.428,,13.628,,,,,,,,,,,,,
22150,OGLE-LMC-CEP-0818,LMC,DCEP,2.7122162,5 3 46.01,-66 59 24.70,,,16.18,,15.503,,,,,,,,,,,,,
